setor_or_tabela,grupo,subcategoria,designacao,taxa
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Construções,"Construções de Blocos, Tijolos, Pedra ou Betão",5%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Construções,Construções de madeira com fundações de alvenaria,10%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Construções,"Outras construções (foças, silos, nitreiras, etc)",5%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Estufas,De estrutura metálica ou de betão ou similares,10%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Estufas,De estrutura de madeira,"16,66%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária","Construções ligeiras (em fi brocimento, madeira,","zinco, etc.)",10%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Plantações,Vinhas,"8,33%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Plantações,Bananeiras e Cana de açúcar,"16,66%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Plantações,Outras plantações,10%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",preparação do solo e colheita,"Abre-regos, Arados, Enxadas, Foices, Pás, Picaretas.","12,5%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",preparação do solo e colheita,Pulverizadores,"16,66%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",preparação do solo e colheita,Máquinas de Aplicação de fertilizantes.,"16,66%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",preparação do solo e colheita,Máquinas de Aplicação de adubos,"16,66%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",preparação do solo e colheita,Moto cultivadores,"16,66%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",preparação do solo e colheita,Tractores,"12,5%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária","Outros Equipamentos, aparelhos e utensílios",de uso específi co,"12,5%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Equipamentos de rega por aspersão:,Barragens e rede primária,4%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Equipamentos de rega por aspersão:,Rede secundária e canalização enterradas,5%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Equipamentos de rega por aspersão:,Restantes equipamentos,10%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",e pragas,Bombas de Pó,20%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",e pragas,Electrocutores de insectos,20%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",e pragas,Equipamento para controlar “epizootia”,20%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",e pragas,Outro equipamento de uso específi co,20%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",,"Cortadores, Tesouras mecânicas","16,66%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária","Cortadores, Tesouras mecânicas",Utensílios e ferramentas de uso específi co,"16,66%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária","Cortadores, Tesouras mecânicas","Serras, Serrotes",20%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária","Cortadores, Tesouras mecânicas",Outros,"12,5%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Equipamento de Rega,Depósitos de água em betão,5%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Equipamento de Rega,Tubagens diversos,20%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Equipamento de Rega,Sistema de Rega Gota a Gota,"33,33%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Equipamento de Rega,Poços e Furos,5%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",Equipamento de Rega,Restante Equipamento,10%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",pecuária,Bebedouros e Comedouros,"12,5%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",pecuária,"Calibradores de ovos, Chocadeiras, Estufas,",10%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",pecuária,Equipamento para abate de animais,"8,33%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",pecuária,Distribuidores automáticos de rações,"8,33%"
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",pecuária,"Máquinas de embalar, Prensas",10%
"Agricultura, silvicultura, pecuária e Pesca","Grupo 1 - Agricultura, silvicultura, pecuária",pecuária,Pasteurizadores,10%
"Agricultura, silvicultura, pecuária e Pesca",Grupo 2 - PESCA,,Navios Costeiros,"8,33%"
"Agricultura, silvicultura, pecuária e Pesca",Grupo 2 - PESCA,Navios de Alto Mar,- De ferro,5%
"Agricultura, silvicultura, pecuária e Pesca",Grupo 2 - PESCA,Navios de Alto Mar,- De madeira,"7,14%"
"Agricultura, silvicultura, pecuária e Pesca",Grupo 2 - PESCA,Navios de Alto Mar,Navios Frigorífi cos,"7,14%"
"Agricultura, silvicultura, pecuária e Pesca",Grupo 2 - PESCA,Navios de Alto Mar,Instalações de Congelação e Conservação,10%
"Agricultura, silvicultura, pecuária e Pesca",Grupo 2 - PESCA,,radiogoniometria e de radar,20%
"Agricultura, silvicultura, pecuária e Pesca",Grupo 2 - PESCA,radiogoniometria e de radar,Aprestos de Pesca,"33,33%"
"Agricultura, silvicultura, pecuária e Pesca",Grupo 2 - PESCA,radiogoniometria e de radar,Redes de emalhar diversos,20%
"Agricultura, silvicultura, pecuária e Pesca",Grupo 2 - PESCA,radiogoniometria e de radar,Máquinas de fabricar gelo,"12,5%"
"Agricultura, silvicultura, pecuária e Pesca",Grupo 2 - PESCA,radiogoniometria e de radar,Motores de popa,20%
"Agricultura, silvicultura, pecuária e Pesca",Grupo 2 - PESCA,radiogoniometria e de radar,Outros equipamentos e materiais de uso específi co,20%
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 1 - Produção, transporte e distribuição de energia eléctrica",,Centrais Eléctricas em Atrelado,10%
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 1 - Produção, transporte e distribuição de energia eléctrica",,Linhas de Alta Tensão (AT) e suportes,"5,0%"
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 1 - Produção, transporte e distribuição de energia eléctrica",,Linhas de Baixa Tensão (BT) e suportes,5%
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 1 - Produção, transporte e distribuição de energia eléctrica",,Postos de Transformação,"7,14%"
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 1 - Produção, transporte e distribuição de energia eléctrica","Equipamento de Energia Eólica 12,5",Painel Solar,"8,33%"
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 1 - Produção, transporte e distribuição de energia eléctrica","Equipamento de Energia Eólica 12,5",Painel de aquecimento solar,10%
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 1 - Produção, transporte e distribuição de energia eléctrica","Equipamento de Energia Eólica 12,5","Aparelhos de medida, controlo e outros","12,5%"
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 2 - Produção, captação e distribuição de água",,Equipamentos para destilação de água.,10%
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 2 - Produção, captação e distribuição de água",,"Obras hidráulicas fi xas, (ex: perfurações)",5%
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 2 - Produção, captação e distribuição de água",,Reservatórios de Superfície,5%
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 2 - Produção, captação e distribuição de água",,Reservatórios Subterrâneos,"3,33%"
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 2 - Produção, captação e distribuição de água",,Redes de distribuição de ferro,5%
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 2 - Produção, captação e distribuição de água",,Redes de distribuição de fi brocimento ou similares,"6,25%"
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 2 - Produção, captação e distribuição de água",,Outras instalações e máquinas de uso específi co,"12,5%"
"ELECTRICIDADE, ÁGUA E GÁS","Grupo 2 - Produção, captação e distribuição de água",,Aparelhos de medida e controlo,"12,5%"
"ELECTRICIDADE, ÁGUA E GÁS",Grupo 3 - Produção e distribuição de gás,,Gasómetros e depósitos para armazenagem de gás,"6,25%"
"ELECTRICIDADE, ÁGUA E GÁS",Grupo 3 - Produção e distribuição de gás,,Subestações redutoras e redes de distribuição,"6,25%"
"ELECTRICIDADE, ÁGUA E GÁS",Grupo 3 - Produção e distribuição de gás,,Máquinas e outras instalações de uso específi co,10%
"ELECTRICIDADE, ÁGUA E GÁS",Grupo 3 - Produção e distribuição de gás,,Aparelhos de medida e controlo,"12,5%"
SERVIÇOS,Grupo 1 - SERVIÇOS DE SAÚDE COM OU SEM INTERNAMENTO,,"Decorações interiores, incluindo tapeçarias",25%
SERVIÇOS,Grupo 1 - SERVIÇOS DE SAÚDE COM OU SEM INTERNAMENTO,,Mobiliário,"12,5%"
SERVIÇOS,Grupo 1 - SERVIÇOS DE SAÚDE COM OU SEM INTERNAMENTO,,Colchoaria e cobertores,25%
SERVIÇOS,Grupo 1 - SERVIÇOS DE SAÚDE COM OU SEM INTERNAMENTO,,Roupas brancas e atoalhados,50%
SERVIÇOS,Grupo 1 - SERVIÇOS DE SAÚDE COM OU SEM INTERNAMENTO,,"Louças e objectos de vidro, excepto decorativos","33,33%"
SERVIÇOS,Grupo 1 - SERVIÇOS DE SAÚDE COM OU SEM INTERNAMENTO,,Talheres e utensílios de cozinha,25%
SERVIÇOS,Grupo 1 - SERVIÇOS DE SAÚDE COM OU SEM INTERNAMENTO,Aparelhagem e material médico-cirúrgico de,rápida evolução técnica,"33,33%"
SERVIÇOS,Grupo 1 - SERVIÇOS DE SAÚDE COM OU SEM INTERNAMENTO,"Outro material, aparelhos, utensílios e",instalações de uso específi co,"14,28%"
SERVIÇOS,Grupo 2 - SERVIÇOS RECREATIVOS,A) Casas de espectáculos,Máquinas de projecção e instalação sonora,"12,5%"
SERVIÇOS,Grupo 2 - SERVIÇOS RECREATIVOS,A) Casas de espectáculos,Cortinas metálicas,5%
SERVIÇOS,Grupo 2 - SERVIÇOS RECREATIVOS,A) Casas de espectáculos,"Decorações interiores, incluindo tapeçarias (a)",25%
SERVIÇOS,Grupo 2 - SERVIÇOS RECREATIVOS,A) Casas de espectáculos,Aparelhagem e mobiliário de uso específi co,"12,5%"
SERVIÇOS,Grupo 2 - SERVIÇOS RECREATIVOS,B) Estações de radiodifusão e televisão,Instalações radiofónicas,10%
SERVIÇOS,Grupo 2 - SERVIÇOS RECREATIVOS,B) Estações de radiodifusão e televisão,Instalações de teledifusão e televisão,"12,5%"
SERVIÇOS,Grupo 2 - SERVIÇOS RECREATIVOS,B) Estações de radiodifusão e televisão,Instalações de sincronização e controlo,"12,5%"
SERVIÇOS,Grupo 2 - SERVIÇOS RECREATIVOS,B) Estações de radiodifusão e televisão,Instalações de gravação e registo,20%
SERVIÇOS,Grupo 2 - SERVIÇOS RECREATIVOS,B) Estações de radiodifusão e televisão,Equipamento móvel para serviço no exterior,"12,5%"
SIMILARARES,"Grupo 3 - HOTÉIS, RESTAURANTES, CAFÉS E ACTIVIDADES",,"Decorações de interiores, incluindo tapeçarias (a)",25%
