taxonomy_code,sncrf_account_codes,description
1,11,Caixa
2,12,Depósitos à ordem
3,13,Depósitos a prazo
4,14,Outros depósitos bancários
5,1511,Instrumentos financeiros – Derivados – Potencialmente favoráveis
6,1512,Instrumentos financeiros – Derivados – Potencialmente desfavoráveis
7,1521,Instrumentos financeiros – Instrumentos financeiros detidos para negociação – Ativos financeiros
8,1522,Instrumentos financeiros – Instrumentos financeiros detidos para negociação – Passivos financeiros
9,1531,Instrumentos financeiros – Outros ativos e passivos financeiros – Outros ativos financeiros
10,1532,Instrumentos financeiros – Outros ativos e passivos financeiros – Outros passivos financeiros
11,21111,Clientes – Clientes c/c – Clientes c/c em moeda nacional – Clientes gerais
12,21112,Clientes – Clientes c/c – Clientes c/c em moeda nacional – Clientes gerais - Empresa-mãe
13,21113,Clientes – Clientes c/c – Clientes c/c em moeda nacional – Clientes gerais - Empresas subsidiárias
14,21114,Clientes – Clientes c/c – Clientes c/c em moeda nacional – Clientes gerais - Empresas associadas
15,21115,Clientes – Clientes c/c – Clientes c/c em moeda nacional – Clientes gerais - Empreendimentos conjuntos
16,21116,Clientes – Clientes c/c – Clientes c/c em moeda nacional – Clientes gerais - Outras partes relacionadas
17,21121,Clientes – Clientes c/c – Clientes c/c em moeda estrangeira – Clientes gerais
18,21122,Clientes – Clientes c/c – Clientes c/c em moeda estrangeira – Clientes gerais – Empresa-mãe
19,21123,Clientes – Clientes c/c – Clientes c/c em moeda estrangeira – Clientes gerais – Empresas subsidiárias
20,21124,Clientes – Clientes c/c – Clientes c/c em moeda estrangeira – Clientes gerais – Empresas associadas
21,21125,Clientes – Clientes c/c – Clientes c/c em moeda estrangeira – Clientes gerais – Empreendimentos conjuntos
22,21126,Clientes – Clientes c/c – Clientes c/c em moeda estrangeira – Clientes gerais – Outras partes relacionadas
23,21211,Clientes – títulos a receber – em moeda nacional – Clientes gerais
24,21212,Clientes – títulos a receber – em moeda nacional – Clientes – Empresa-Mãe
25,21213,Clientes – títulos a receber – em moeda nacional – Clientes – Empresas subsidiárias
26,21214,Clientes – títulos a receber – em moeda nacional – Clientes – Empresas associadas
27,21215,Clientes – títulos a receber – em moeda nacional – Clientes – Empreendimentos conjuntos
28,21216,Clientes – títulos a receber – em moeda nacional – Clientes – Outras partes relacionadas
29,21221,Clientes – títulos a receber – em moeda estrangeira – Clientes gerais
30,21222,Clientes – títulos a receber – em moeda estrangeira – Clientes – Empresa-Mãe
31,21223,Clientes – títulos a receber – em moeda estrangeira – Clientes – Empresas subsidiárias
32,21224,Clientes – títulos a receber – em moeda estrangeira – Clientes – Empresas associadas
33,21225,Clientes – títulos a receber – em moeda estrangeira – Clientes – Empreendimentos conjuntos
34,21226,Clientes – títulos a receber – em moeda estrangeira – Clientes – Outras partes relacionadas
35,213,| 214 | 215 | 217 Clientes – outros clientes - em moeda nacional
36,213,| 214 | 215 | 217 Clientes – outros clientes - em moeda estrangeira
37,216,Clientes – por acréscimos de rendimento - em moeda nacional
38,216,Clientes – por acréscimos de rendimento - em moeda estrangeira
39,2181,Clientes – adiantamentos de clientes – em moeda nacional
40,2182,Clientes – adiantamentos de clientes – em moeda estrangeira
41,219,Clientes - Perdas por imparidade acumuladas gerais
42,219,Clientes - Perdas por imparidade acumuladas - Clientes c/c em moeda nacional - Empresa-mãe
43,219,Clientes - Perdas por imparidade acumuladas subsidiárias
44,219,Clientes - Perdas por imparidade acumuladas associadas
45,219,Clientes - Perdas por imparidade acumuladas Empreendimentos conjuntos
46,219,Clientes - Perdas por imparidade acumuladas partes relacionadas
47,219,Clientes - Perdas por imparidade acumuladas - Clientes c/c em moeda estrangeira - Clientes gerais
48,219,Clientes - Perdas por imparidade acumuladas Empresa-mãe
49,219,Clientes - Perdas por imparidade acumuladas Empresas subsidiárias
50,219,Clientes - Perdas por imparidade acumuladas Empresas associadas
51,219,Clientes - Perdas por imparidade acumuladas Empreendimentos conjuntos
52,219,Clientes - Perdas por imparidade acumuladas partes relacionadas
53,219,Clientes - Perdas por imparidade acumuladas nacional - Clientes gerais
54,219,Clientes - Perdas por imparidade acumuladas nacional – Empresa-mãe
55,219,Clientes - Perdas por imparidade acumuladas nacional – Empresas subsidiárias
56,219,Clientes - Perdas por imparidade acumuladas nacional – Empresas associadas
57,219,Clientes - Perdas por imparidade acumuladas nacional – Empreendimentos conjuntos
58,219,Clientes - Perdas por imparidade acumuladas
59,219,Clientes - Perdas por imparidade acumuladas estrangeira - Clientes gerais
60,219,Clientes - Perdas por imparidade acumuladas estrangeira – Empresa-mãe
61,219,Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber em moeda estrangeira – Empresas subsidiárias
62,219,Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber em moeda estrangeira – Empresas associadas
63,219,Clientes - Perdas por imparidade acumuladas estrangeira – Empreendimentos conjuntos
64,219,Clientes - Perdas por imparidade acumuladas - Clientes — títulos a receber em moeda estrangeira – Outras partes relacionadas
65,219,Clientes - Perdas por imparidade acumuladas - em moeda nacional - Outros Clientes
66,219,Clientes - Perdas por imparidade acumuladas - em moeda estrangeira - Outros Clientes
67,22111,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda nacional
68,22112,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda nacional -Empresa-
69,22113,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda nacional - Empresas subsidiárias
70,22114,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda nacional - Empresas associadas
71,22115,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda nacional - Empreendimentos conjuntos
72,22116,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda nacional – Outras partes relacionadas
73,22121,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda estrangeira - Fornecedores gerais
74,22122,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda estrangeira
75,22123,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda estrangeira - Empresas subsidiárias
76,22124,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda estrangeira – Empresas associadas
77,22125,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda estrangeira
78,22126,Fornecedores - Fornecedores c/c – Fornecedores c/c em moeda estrangeira
79,22211,Fornecedores – títulos a pagar – em moeda nacional – Fornecedores gerais
80,22212,Fornecedores – títulos a pagar – em moeda nacional – Empresa-mãe
81,22213,Fornecedores – títulos a pagar – em moeda nacional – Empresas subsidiárias
82,22214,Fornecedores – títulos a pagar – em moeda nacional – Empresas associadas
83,22215,Fornecedores – títulos a pagar – em moeda nacional – Empreendimentos conjuntos
84,22216,Fornecedores – títulos a pagar – em moeda nacional – Outras partes relacionadas
85,22221,Fornecedores – títulos a pagar – em moeda estrangeira – Fornecedores gerais
86,22222,Fornecedores – títulos a pagar – em moeda estrangeira – Empresa-mãe
87,22223,Fornecedores – títulos a pagar – em moeda estrangeira – Empresas subsidiárias
88,22224,Fornecedores – títulos a pagar – em moeda estrangeira – Empresas associadas
89,22225,Fornecedores – títulos a pagar – em moeda estrangeira – Empreendimentos conjuntos
90,22226,Fornecedores – títulos a pagar – em moeda estrangeira – Outras partes relacionadas
91,223,| 224 | 227 Fornecedores – Outros fornecedores - em moeda nacional
92,223,| 224 | 227 Fornecedores – Outros fornecedores - em moeda estrangeira
93,2251,Fornecedores – faturas em receção e conferência - em moeda nacional
94,2252,Fornecedores – faturas em receção e conferência - em moeda estrangeira
95,2261,Fornecedores por acréscimos de gastos – em moeda nacional
96,2262,Fornecedores por acréscimos de gastos – em moeda estrangeira
97,2281,Adiantamentos a fornecedores – em moeda nacional
98,2282,Adiantamentos a fornecedores – em moeda estrangeira
99,229,Fornecedores – perdas por imparidade acumuladas - em moeda nacional
100,229,Fornecedores – perdas por imparidade acumuladas - em moeda estrangeira
101,2311,Financiamentos obtidos – Instituições de crédito e sociedades financeiras – Empréstimos bancários (CORRENTE)
102,2311,Financiamentos obtidos – Instituições de crédito e sociedades financeiras – Empréstimos bancários (NÃO CORRENTE)
103,2312,Financiamentos obtidos – Instituições de crédito e sociedades financeiras – Descobertos bancários (CORRENTE)
104,2312,Financiamentos obtidos – Instituições de crédito e sociedades financeiras – Descobertos bancários (NÃO CORRENTE)
105,2313,Financiamentos obtidos – Instituições de crédito e sociedades financeiras – Locações financeiras (CORRENTE)
106,2313,Financiamentos obtidos – Instituições de crédito e sociedades financeiras – Locações financeiras (NÃO CORRENTE)
